Species,Sex,Mean Length,Standard Deviation,n
Abramis bjrkna,Female,26.075,2.8535066146760553,4
Abramis bjrkna,Male,19.5,1.9672315572906014,3
Abramis bjrkna,Unspecified,21.975,3.9279977936178465,4
Bream,Female,44.2,1.6522711641858292,3
Bream,Male,39.75,3.059248273677701,6
Bream,Unspecified,37.35769230769231,3.977453766109477,26
Perch,Female,35.152,8.289658215712716,25
Perch,Male,34.25,16.617009357883866,2
Perch,Unspecified,24.43793103448276,7.276891692842459,29
Pike,Female,53.94,12.18966775593166,5
Pike,Male,41,NA,1
Pike,Unspecified,47.04545454545455,9.126813642927488,11
Roach,Female,25.4375,2.3615597146196174,8
Roach,Unspecified,24.65833333333333,4.925528736423465,12
Smelt,Female,13.555555555555555,1.430132084032023,9
Smelt,Male,12.1,0.9055385138137413,5
Whitewish,Female,39.6,NA,1
Whitewish,Unspecified,33.26,6.081364978358066,5
