Arr Date,Dep Date,Ship,Berth,Port,Agent,To
Fri 01 Feb 2019 19:00,,MILDRED,BSE Maritime Solutions,Brisbane,Bhagwan Marine Brisbane,
Fri 01 Feb 2019 19:00,,MDT 1501,BSE Maritime Solutions,Brisbane,Bhagwan Marine Brisbane,
Fri 01 Mar 2019 14:50,Wed 20 Mar 2019 00:00,INCEPTION,North Anchorage 27,Hay Point,Sturrock Grindrod Maritime (Mackay),DBCT Berth 4
Fri 01 Mar 2019 17:30,Fri 15 Mar 2019 01:00,CHAMPION PULA,East Anchorage 8,Gladstone,Monson Agencies Australia (Gladstone),South Trees East
Fri 07 Dec 2018 02:20,Tue 18 Dec 2018 18:00,GALILEO,Skardon River Anchorage,Skardon River,Monson Agencies Australia (Brisbane),SEA
Fri 08 Mar 2019 10:02,Wed 20 Mar 2019 00:00,CAPE SPENCER,South Anchorage 09,Hay Point,Wilhelmsen Ships Services (Mackay),HPS Berth 1
Fri 08 Mar 2019 11:27,Wed 20 Mar 2019 12:34,CLIA,East Anchorage 2,Gladstone,Inchcape Shipping Services (Queensland),Clinton Coal
Fri 08 Mar 2019 20:45,Thu 14 Mar 2019 23:00,RIGI VENTURE,Point Cartwright Anchorage,Brisbane,Monson Agencies Australia (Brisbane),Fisherman Island General Purpose Berth
Fri 13 Jul 2018 12:43,,TOUARAKEN III,Inner Harbour Anchorage,Thursday Island,Owner / Agent / Master (Cairns),
Fri 14 Dec 2018 13:20,,PMG SWORDFISH,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Fri 14 Dec 2018 13:20,,PMG 122,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Fri 15 Dec 2017 00:30,,REEFWORLD 1,BSE Maritime Solutions,Brisbane,Pacific Tug (Australia) Pty Ltd,
Fri 15 Feb 2019 14:51,,PMG 150,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Fri 17 Aug 2018 08:20,,KOCHI,City,Brisbane,Pacific Tug (Australia) Pty Ltd,
Fri 17 Aug 2018 13:30,,PT MARY,Queensport,Brisbane,Pacific Tug (Australia) Pty Ltd,
Fri 18 Jan 2019 00:45,,BE MINE,Sailfish Quay 11,Cairns,Carter Marine Agencies,
Fri 21 Jul 2017 08:05,,SHEERLEGS,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Fri 22 Dec 2017 12:30,,AMS 1807,Cairncross  Fitting Out No 1,Brisbane,Bhagwan Marine Brisbane,
Fri 24 Nov 2017 11:30,,MALU TRADER,Admiralty Anchorage,Cairns,Sea Swift Pty Ltd,
Fri 27 Oct 2017 09:00,,AMS ORION,Townsville Marine Precinct 1,Townsville,Pacific Marine Group Pty Ltd,
Fri 27 Oct 2017 14:31,,VOYAGER,City,Brisbane,Owner / Agent / Master (Brisbane),
