FlightDate,Reporting_Airline,Origin,OriginStateName,Dest,DestStateName,DepDelay,ArrDelay
7/1/18,UA,EWR,New Jersey,DEN,Colorado,78,67
7/1/18,UA,LAS,Nevada,SFO,California,-5,-25
7/1/18,UA,IAH,Texas,LAS,Nevada,-7,-12
7/1/18,UA,DEN,Colorado,CID,Iowa,-5,-15
7/1/18,UA,PDX,Oregon,EWR,New Jersey,-8,-29
7/1/18,UA,EWR,New Jersey,PDX,Oregon,48,56
7/1/18,UA,EWR,New Jersey,ATL,Georgia,20,-7
7/1/18,UA,MCO,Florida,LAX,California,27,26
7/1/18,UA,EWR,New Jersey,SMF,California,0,-21
7/1/18,UA,IAH,Texas,JAC,Wyoming,-2,-25
7/1/18,UA,EWR,New Jersey,TYS,Tennessee,9,-15
7/1/18,UA,SFO,California,IAH,Texas,-1,-8
7/1/18,UA,SFO,California,HNL,Hawaii,-4,-35
7/1/18,UA,BOS,Massachusetts,SFO,California,32,26
7/1/18,UA,MSY,Louisiana,EWR,New Jersey,-7,-20
7/1/18,UA,MIA,Florida,IAH,Texas,-1,7
7/1/18,UA,MIA,Florida,EWR,New Jersey,-2,10
7/1/18,UA,EWR,New Jersey,LAX,California,-1,-25
7/1/18,UA,SLC,Utah,EWR,New Jersey,-6,25
7/1/18,UA,MCO,Florida,SFO,California,36,22
7/1/18,UA,MSY,Louisiana,IAD,Virginia,11,7
7/1/18,UA,DEN,Colorado,RIC,Virginia,-7,-21
7/1/18,UA,DEN,Colorado,SAN,California,-4,-16
7/1/18,UA,DEN,Colorado,ORD,Illinois,19,22
7/1/18,UA,EWR,New Jersey,FLL,Florida,5,-15
7/1/18,UA,MIA,Florida,ORD,Illinois,-4,-7
7/1/18,UA,FLL,Florida,EWR,New Jersey,-11,-18
7/1/18,UA,DEN,Colorado,BOI,Idaho,15,5
7/1/18,UA,IAD,Virginia,DEN,Colorado,-1,-15
7/1/18,UA,EWR,New Jersey,IAH,Texas,5,NA
7/1/18,UA,DEN,Colorado,SLC,Utah,-6,-12
7/1/18,UA,DEN,Colorado,PDX,Oregon,38,18
7/1/18,UA,DEN,Colorado,ICT,Kansas,27,8
7/1/18,UA,DEN,Colorado,EWR,New Jersey,-5,-15
7/1/18,UA,SFO,California,RNO,Nevada,-2,-18
7/1/18,UA,SFO,California,EUG,Oregon,30,26
7/1/18,UA,LAX,California,DEN,Colorado,-11,-26
7/1/18,UA,SFO,California,CLE,Ohio,-2,25
7/1/18,UA,IAD,Virginia,FLL,Florida,56,44
7/1/18,UA,EWR,New Jersey,BTV,Vermont,3,-3
7/1/18,UA,SFO,California,IAD,Virginia,-8,-20
7/1/18,UA,SFO,California,BOS,Massachusetts,-3,-16
7/1/18,UA,LAX,California,SAN,California,-8,1
7/1/18,UA,LAX,California,ORD,Illinois,235,224
7/1/18,UA,SAN,California,EWR,New Jersey,-6,-6
7/1/18,UA,EWR,New Jersey,ORD,Illinois,169,155
7/1/18,UA,BNA,Tennessee,IAH,Texas,-6,-3
7/1/18,UA,SFO,California,SAN,California,9,12
7/1/18,UA,SFO,California,PHX,Arizona,-5,-14
7/1/18,UA,MSY,Louisiana,DEN,Colorado,-4,-7
7/1/18,UA,EWR,New Jersey,ORD,Illinois,8,-8
7/1/18,UA,MCO,Florida,ORD,Illinois,22,25
7/1/18,UA,DEN,Colorado,BZN,Montana,-1,-13
7/1/18,UA,BOS,Massachusetts,IAD,Virginia,-1,-10
7/1/18,UA,AUS,Texas,IAH,Texas,-1,-14
7/1/18,UA,IAH,Texas,MSY,Louisiana,12,17
7/1/18,UA,PHL,Pennsylvania,SFO,California,11,1
7/1/18,UA,IAH,Texas,ORD,Illinois,105,112
7/1/18,UA,LAX,California,EWR,New Jersey,19,9
7/1/18,UA,SFO,California,MIA,Florida,-4,-16
7/1/18,UA,MCO,Florida,LAX,California,-2,-10
7/1/18,UA,IAH,Texas,BNA,Tennessee,-7,-18
7/1/18,UA,MCO,Florida,EWR,New Jersey,16,21
7/1/18,UA,AUS,Texas,SFO,California,13,1
7/1/18,UA,DEN,Colorado,SJC,California,-2,-26
7/1/18,UA,IAH,Texas,EWR,New Jersey,16,8
7/1/18,UA,LAX,California,ORD,Illinois,60,61
7/1/18,UA,BNA,Tennessee,SFO,California,-2,-19
7/1/18,UA,DEN,Colorado,MSP,Minnesota,-4,-9
7/1/18,UA,LAX,California,EWR,New Jersey,17,34
7/1/18,UA,IAH,Texas,LAS,Nevada,24,8
7/1/18,UA,IAH,Texas,PBI,Florida,-2,-25
7/1/18,UA,SEA,Washington,IAH,Texas,-7,-34
7/1/18,UA,IAH,Texas,DFW,Texas,1,8
7/1/18,UA,DEN,Colorado,LAX,California,-7,-3
7/1/18,UA,DCA,Virginia,DEN,Colorado,1,-15
7/1/18,UA,IAH,Texas,MCO,Florida,-6,-6
7/1/18,UA,IAH,Texas,LAS,Nevada,8,-8
7/1/18,UA,IAH,Texas,SFO,California,12,-17
7/1/18,UA,IAH,Texas,FLL,Florida,-4,-21
7/1/18,UA,SAN,California,IAH,Texas,-7,-25
7/1/18,UA,LGA,New York,IAH,Texas,83,54
7/1/18,UA,IAH,Texas,LAX,California,5,-2
7/1/18,UA,IAH,Texas,AUS,Texas,21,9
7/1/18,UA,IAH,Texas,LGA,New York,-3,-14
7/1/18,UA,SAN,California,IAH,Texas,-3,-32
7/1/18,UA,BWI,Maryland,IAH,Texas,22,9
7/1/18,UA,MIA,Florida,IAH,Texas,-2,8
7/1/18,UA,LAX,California,IAD,Virginia,0,-10
7/1/18,UA,DEN,Colorado,MCO,Florida,-7,-25
7/1/18,UA,IAH,Texas,MSY,Louisiana,1,-9
7/1/18,UA,PHX,Arizona,IAH,Texas,0,-7
7/1/18,UA,PDX,Oregon,IAH,Texas,-5,-12
7/1/18,UA,SFO,California,SMF,California,-2,4
7/1/18,UA,LGA,New York,IAH,Texas,2,-18
7/1/18,UA,IAH,Texas,DEN,Colorado,4,-5
7/1/18,UA,EWR,New Jersey,MTJ,Colorado,33,-1
7/1/18,UA,MIA,Florida,IAH,Texas,-10,-2
7/1/18,UA,SFO,California,IND,Indiana,-2,-9
7/1/18,UA,DEN,Colorado,RSW,Florida,-3,-17
7/1/18,UA,LAX,California,DFW,Texas,-5,-30
7/1/18,UA,IAH,Texas,TPA,Florida,93,78
7/1/18,UA,SFO,California,PHL,Pennsylvania,-2,-10
7/1/18,UA,EWR,New Jersey,BOS,Massachusetts,95,101
7/1/18,UA,FLL,Florida,EWR,New Jersey,2,31
7/1/18,UA,SLC,Utah,IAH,Texas,-4,-12
7/1/18,UA,SFO,California,BNA,Tennessee,-1,-5
7/1/18,UA,SFO,California,IAH,Texas,41,15
7/1/18,UA,PHL,Pennsylvania,SFO,California,59,24
7/1/18,UA,LAX,California,DEN,Colorado,33,14
7/1/18,UA,SFO,California,PDX,Oregon,1,-19
7/1/18,UA,PDX,Oregon,SFO,California,-3,-7
7/1/18,UA,IAH,Texas,MIA,Florida,-8,-30
